Fecha:,Velocidad del viento (Km/h)
2018-07-21 02:14:57,1.22971819
2018-07-21 02:44:58,2.274881517
2018-07-21 03:15:01,0
2018-07-21 03:45:05,0
2018-07-21 04:15:02,0
2018-07-21 04:45:03,0
2018-07-21 05:14:59,0
2018-07-21 05:45:03,0
2018-07-21 06:15:00,1.402142162
2018-07-21 06:45:05,0
2018-07-21 07:15:05,0
2018-07-21 07:45:01,0
2018-07-21 08:15:02,1.081081081
2018-07-21 08:44:58,1.773399015
2018-07-21 09:15:02,0
2018-07-21 09:45:29,1.766871166
2018-07-21 10:14:58,3.582089552
2018-07-21 10:45:03,0
2018-07-21 11:15:03,0
2018-07-21 11:45:01,1.263157895
2018-07-21 12:15:02,1.038961039
2018-07-21 12:45:04,1.841432225
2018-07-21 13:15:00,1.275465013
2018-07-21 13:45:00,2.742857143
2018-07-21 14:15:04,0
2018-07-21 14:45:03,2.31511254
2018-07-21 15:15:00,5.393258427
2018-07-21 15:45:01,5.236363636
2018-07-21 16:15:02,1.332099907
2018-07-21 16:45:01,11.33858268
2018-07-21 17:15:02,2.98136646
2018-07-21 17:45:01,1.137440758
2018-07-21 18:15:02,1.69212691
2018-07-21 18:45:02,14.11764706
2018-07-21 19:14:58,1.125879593
2018-07-21 19:45:06,0
2018-07-21 20:15:07,0
